GAME_ID,GAME_DATE,SEASON_ID
1521600042,2016-07-13,2016-17
1521600045,2016-07-14,2016-17
1521600052,2016-07-14,2016-17
1521600050,2016-07-14,2016-17
1521600049,2016-07-14,2016-17
1521600051,2016-07-14,2016-17
1521600047,2016-07-14,2016-17
1521600046,2016-07-14,2016-17
1521600048,2016-07-14,2016-17
1521600057,2016-07-15,2016-17
1521600055,2016-07-15,2016-17
1521600054,2016-07-15,2016-17
1521600059,2016-07-15,2016-17
1521600056,2016-07-15,2016-17
1521600060,2016-07-15,2016-17
1521600058,2016-07-15,2016-17
1521600053,2016-07-15,2016-17
1521600064,2016-07-16,2016-17
1521600063,2016-07-16,2016-17
1521600062,2016-07-16,2016-17
1521600061,2016-07-16,2016-17
1521600066,2016-07-17,2016-17
1521600065,2016-07-17,2016-17
1521600067,2016-07-18,2016-17
1521700003,2017-07-07,2017-18
1521700002,2017-07-07,2017-18
1521700001,2017-07-07,2017-18
1521700005,2017-07-07,2017-18
1521700004,2017-07-07,2017-18
1521700006,2017-07-07,2017-18
1521700012,2017-07-08,2017-18
1521700013,2017-07-08,2017-18
1521700008,2017-07-08,2017-18
1521700014,2017-07-08,2017-18
1521700011,2017-07-08,2017-18
1521700010,2017-07-08,2017-18
1521700009,2017-07-08,2017-18
1521700007,2017-07-08,2017-18
1521700015,2017-07-09,2017-18
1521700020,2017-07-09,2017-18
1521700016,2017-07-09,2017-18
1521700018,2017-07-09,2017-18
1521700019,2017-07-09,2017-18
1521700017,2017-07-09,2017-18
1521700022,2017-07-09,2017-18
1521700021,2017-07-09,2017-18
1521700023,2017-07-10,2017-18
1521700028,2017-07-10,2017-18
1521700025,2017-07-10,2017-18
1521700027,2017-07-10,2017-18
1521700026,2017-07-10,2017-18
1521700029,2017-07-10,2017-18
1521700030,2017-07-10,2017-18
1521700024,2017-07-10,2017-18
1521700034,2017-07-11,2017-18
1521700033,2017-07-11,2017-18
1521700035,2017-07-11,2017-18
1521700036,2017-07-11,2017-18
1521700031,2017-07-11,2017-18
1521700032,2017-07-11,2017-18
1521700037,2017-07-12,2017-18
1521700043,2017-07-12,2017-18
1521700038,2017-07-12,2017-18
1521700040,2017-07-12,2017-18
1521700044,2017-07-12,2017-18
1521700039,2017-07-12,2017-18
1521700042,2017-07-12,2017-18
1521700041,2017-07-12,2017-18
1521700047,2017-07-13,2017-18
1521700052,2017-07-13,2017-18
1521700045,2017-07-13,2017-18
1521700050,2017-07-13,2017-18
1521700046,2017-07-13,2017-18
1521700048,2017-07-13,2017-18
1521700049,2017-07-13,2017-18
1521700051,2017-07-13,2017-18
1521700053,2017-07-14,2017-18
1521700060,2017-07-14,2017-18
1521700057,2017-07-14,2017-18
1521700058,2017-07-14,2017-18
1521700056,2017-07-14,2017-18
1521700055,2017-07-14,2017-18
1521700054,2017-07-14,2017-18
1521700059,2017-07-14,2017-18
1521700063,2017-07-15,2017-18
1521700064,2017-07-15,2017-18
1521700062,2017-07-15,2017-18
1521700061,2017-07-15,2017-18
1521700066,2017-07-16,2017-18
1521700065,2017-07-16,2017-18
1521700067,2017-07-17,2017-18
1521800006,2018-07-06,2018-19
1521800007,2018-07-06,2018-19
1521800002,2018-07-06,2018-19
1521800008,2018-07-06,2018-19
1521800009,2018-07-06,2018-19
1521800010,2018-07-06,2018-19
1521800001,2018-07-06,2018-19
1521800005,2018-07-06,2018-19
1521800003,2018-07-06,2018-19
1521800004,2018-07-06,2018-19
